1chr_position	sample4	sample3	sample1	sample2
chr19,32405161,32406095	1.000	0.629	0.407	0.783
chr19,55982778,55983378	0.886	1.000	1.000	0.730
chr19,46025615,46027225	0.821	0.734	0.573	0.869
chr19,16961438,16961740	0.885	NA	0.793	0.541
chr19,53316993,53317876	0.971	0.845	0.818	0.727
chr19,300915,302494	0.603	0.670	0.855	0.976
chr19,55166608,55167583	0.882	0.500	0.195	1.000
chr19,51531391,51532099	0.773	0.623	0.643	0.968
chr19,18188084,18188504	0.833	NA	0.966	0.630
chr19,14403343,14403947	0.692	0.417	0.500	0.000
chr19,24242654,24244845	0.759	0.935	0.722	0.150
chr19,17520126,17520417	NA	1.000	0.900	0.667
chr19,35324445,35324641	1.000	NA	0.000	1.000
chr19,7003367,7003766	0.762	NA	0.969	NA
chr19,41695162,41695434	0.950	0.722	0.400	0.725
chr19,10482857,10484041	0.176	0.465	0.559	0.206
chr19,40813372,40814130	0.412	NA	0.976	0.423
chr19,43202035,43202339	0.057	0.286	0.600	0.629
chr19,44427933,44429626	1.000	1.000	1.000	0.167
chr19,2308398,2308668	0.208	0.000	0.645	0.692
chr19,39640062,39641677	0.956	0.953	0.960	0.686
chr19,3131291,3131574	0.368	1.000	0.983	0.944
chr19,29865452,29866375	1.000	NA	0.263	0.850
chr19,40722955,40723147	0.050	0.000	0.222	0.036
chr19,7199330,7201892	0.744	0.729	0.672	0.526
chr19,10145509,10146904	0.455	0.391	1.000	0.600
chr19,42811115,42811877	0.782	0.914	0.952	0.636
chr19,45618996,45619517	0.444	0.816	0.465	NA
chr19,1417234,1417493	0.615	0.929	0.829	0.273
chr19,12803194,12803459	0.833	1.000	1.000	0.750
chr19,39184793,39185765	0.738	0.585	0.704	0.403
chr19,18571571,18572060	0.623	1.000	1.000	0.667
chr19,47986532,47986649	0.709	0.960	NA	1.000
chr19,50962319,50964350	0.600	0.675	0.376	0.370
chr19,35627692,35628391	0.643	0.769	0.826	0.050
chr19,54546244,54546825	NA	1.000	0.615	1.000
chr19,36501114,36503361	0.966	0.881	0.885	0.900
chr19,1802851,1803665	0.933	1.000	0.741	0.619
chr19,41464158,41470842	0.608	0.733	0.863	0.791
chr19,4132050,4133421	0.867	0.943	0.760	0.286
chr19,12970803,12970988	0.974	0.860	0.972	1.000
chr19,55218077,55218488	0.486	0.700	0.783	1.000
chr19,18240795,18241515	0.993	0.814	0.562	1.000
chr19,12713305,12715066	0.649	0.864	0.909	0.364
chr19,29367809,29368329	0.875	0.750	0.703	0.214
chr19,57709655,57713011	0.875	0.983	0.993	0.770
chr19,55266179,55269855	0.909	0.924	0.791	0.721
chr19,2900531,2900678	0.000	0.000	0.000	0.121
chr19,15457811,15458047	1.000	1.000	NA	0.400
chr19,46527408,46529123	0.268	0.500	0.923	0.907
chr19,35915618,35916356	0.818	1.000	0.941	1.000
chr19,3369450,3369954	0.276	0.231	0.074	0.545
chr19,7496646,7497068	0.727	1.000	0.556	NA
chr19,9279365,9280546	0.771	0.800	1.000	0.603
chr19,19593921,19594453	0.944	0.906	0.941	0.579
chr19,33140455,33140547	NA	1.000	NA	0.583
chr19,30755035,30755753	0.536	0.333	0.391	0.957
chr19,28856912,28857665	0.526	NA	0.948	0.882
chr19,41106232,41106650	0.000	0.018	0.515	0.069
chr19,36967797,36968202	0.966	0.963	0.933	0.761
chr19,297910,299854	0.972	0.981	0.947	0.882
chr19,32917842,32917983	0.889	0.795	1.000	0.545
chr19,8295314,8295879	0.070	NA	1.000	NA
chr19,17488279,17488659	0.357	0.231	0.466	0.164
chr19,2025305,2026372	0.587	0.897	0.872	0.814
chr19,15524063,15524721	0.650	0.273	0.882	1.000
chr19,1897082,1897636	0.355	0.000	0.171	0.143
chr19,49274053,49275460	0.881	0.808	0.942	0.239
chr19,45054039,45054476	NA	0.811	0.931	0.976
chr19,22034819,22035492	0.321	0.500	0.429	0.034
chr19,1460748,1460798	1.000	NA	NA	0.800
chr19,54156250,54156312	0.316	NA	1.000	NA
chr19,6170691,6173859	0.831	0.788	0.830	0.476
chr19,53060968,53061368	1.000	0.579	0.767	1.000
chr19,52695171,52695622	0.071	NA	NA	0.706
chr19,10360195,10361242	0.784	0.133	0.533	0.583
chr19,54336814,54338511	0.655	0.900	0.864	0.438
chr19,16528407,16529282	0.671	0.371	0.619	0.208
chr19,11563093,11564400	0.718	0.692	0.770	0.486
chr19,54518315,54519443	0.672	0.346	0.713	0.779
chr19,31290490,31291780	0.384	0.634	0.654	0.254
chr19,3152709,3153168	0.966	NA	0.955	0.481
chr19,43030692,43031386	0.647	0.800	0.578	0.429
chr19,8367149,8367355	0.647	NA	0.903	NA
chr19,18507748,18508133	0.706	0.615	0.179	0.857
chr19,1143686,1144185	0.650	1.000	0.943	0.643
chr19,34335142,34335474	0.989	NA	NA	0.765
chr19,3440575,3440898	0.964	0.516	0.870	0.378
chr19,37728855,37729001	0.636	NA	1.000	NA
chr19,45524059,45524546	0.942	1.000	1.000	1.000
chr19,47276451,47278378	0.925	0.789	0.736	0.118
chr19,4488832,4489312	0.964	1.000	0.821	0.381
chr19,40289938,40291572	0.833	0.984	0.885	0.951
chr19,46605460,46606584	0.900	0.767	0.961	1.000
chr19,12266318,12266531	0.356	0.500	0.089	0.100
chr19,11290805,11291212	0.500	0.571	0.581	0.000
chr19,18614640,18615184	0.609	0.950	0.939	1.000
chr19,38039629,38039880	0.684	NA	0.444	0.143
chr19,42316831,42317238	0.552	NA	0.824	1.000
chr19,32378675,32378750	NA	0.667	NA	1.000
chr19,20626823,20630986	0.934	0.690	0.868	0.564
chr19,40848242,40849921	0.824	0.886	0.865	0.311
chr19,3803679,3804961	0.923	0.966	0.844	0.696
chr19,31339451,31340524	0.896	0.585	0.867	0.970
chr19,58861500,58861946	0.843	0.889	0.576	0.500
chr19,32509470,32509885	NA	1.000	0.364	0.417
chr19,18704341,18705036	0.146	0.268	0.789	0.100
chr19,1177795,1178179	0.565	0.100	0.722	0.545
chr19,9757042,9758418	1.000	0.844	0.921	1.000
chr19,45214291,45216122	0.873	0.865	0.836	0.575
chr19,46166860,46167668	0.963	0.611	0.382	NA
chr19,2396301,2397003	0.872	0.912	0.842	0.556
chr19,6947839,6948564	0.250	0.853	0.188	0.355
chr19,879228,880238	0.888	0.588	0.889	0.484
chr19,6884489,6884883	0.926	0.724	0.952	0.500
chr19,640145,640465	0.389	0.538	0.827	NA
chr19,48080737,48081265	0.682	0.818	0.111	1.000
chr19,4991420,4991796	0.316	1.000	0.400	0.640
chr19,42891411,42892163	0.150	0.106	0.607	0.075
chr19,41816088,41816202	0.118	NA	0.000	0.019
chr19,10404299,10405466	0.150	0.292	0.490	0.690
chr19,1312214,1312726	0.979	NA	0.980	0.417
chr19,7143202,7145040	0.893	0.988	0.932	0.837
chr19,17996285,17996825	0.800	0.571	0.963	1.000
chr19,3806656,3807015	0.545	0.527	0.818	0.895
chr19,3102590,3104593	0.445	0.581	0.750	0.060
chr19,2272133,2272981	0.740	0.965	0.717	0.868
chr19,2014508,2015045	0.818	0.667	0.650	0.968
chr19,19005567,19006004	0.125	0.100	0.635	0.000
chr19,58630145,58630508	0.541	0.750	0.533	0.000
chr19,16613991,16614534	0.871	0.875	0.964	0.649
chr19,8605447,8606468	0.763	0.111	0.302	0.500
chr19,17377449,17377707	0.087	0.000	0.226	0.000
chr19,50802252,50802733	0.375	NA	0.903	0.977
chr19,38847168,38847776	0.956	0.714	0.652	0.360
chr19,30017776,30018041	0.000	0.000	0.219	0.000
